Date,Adj Close,Close,High,Low,Open,Volume
2022-11-01,20485.2734375,20485.2734375,20647.2890625,20359.845703125,20494.8984375,39819303159
2022-11-02,20159.50390625,20159.50390625,20742.810546875,20087.134765625,20482.958984375,55552169483
2022-11-03,20209.98828125,20209.98828125,20382.095703125,20086.240234375,20162.689453125,43228750179
2022-11-04,21147.23046875,21147.23046875,21209.560546875,20188.01953125,20208.76953125,64072727950
2022-11-05,21282.69140625,21282.69140625,21446.88671875,21097.634765625,21144.83203125,37846047609
2022-11-06,20926.486328125,20926.486328125,21345.376953125,20920.19140625,21285.056640625,35082693210
2022-11-07,20602.81640625,20602.81640625,21053.24609375,20489.97265625,20924.62109375,53510852236
2022-11-08,18541.271484375,18541.271484375,20664.607421875,17603.544921875,20600.671875,118992465607
2022-11-09,15880.7802734375,15880.7802734375,18590.458984375,15682.6923828125,18543.76171875,102905151606
2022-11-10,17586.771484375,17586.771484375,18054.3125,15834.0185546875,15883.158203125,83202283721
2022-11-11,17034.29296875,17034.29296875,17650.943359375,16543.482421875,17583.251953125,55871616488
2022-11-12,16799.185546875,16799.185546875,17066.67578125,16651.775390625,17036.875,29717699419
2022-11-13,16353.365234375,16353.365234375,16920.765625,16320.634765625,16799.72265625,27209183682
2022-11-14,16618.19921875,16618.19921875,17109.32421875,15872.94140625,16352.0283203125,49630243054
2022-11-15,16884.61328125,16884.61328125,17051.962890625,16542.55078125,16617.484375,36599436183
2022-11-16,16669.439453125,16669.439453125,16960.294921875,16430.111328125,16884.341796875,33925512989
2022-11-17,16687.517578125,16687.517578125,16726.439453125,16460.68359375,16670.42578125,27868914022
2022-11-18,16697.77734375,16697.77734375,16947.05859375,16564.611328125,16687.912109375,26862218609
2022-11-19,16711.546875,16711.546875,16797.876953125,16570.41015625,16696.220703125,16106223492
2022-11-20,16291.83203125,16291.83203125,16746.779296875,16248.6923828125,16712.919921875,21313378652
2022-11-21,15787.2841796875,15787.2841796875,16291.2236328125,15599.046875,16291.2236328125,37429485518
2022-11-22,16189.76953125,16189.76953125,16253.0478515625,15656.6064453125,15782.30078125,30726828760
2022-11-23,16610.70703125,16610.70703125,16638.193359375,16170.5029296875,16195.5888671875,32958875628
2022-11-24,16604.46484375,16604.46484375,16771.474609375,16501.767578125,16611.63671875,26129037414
2022-11-25,16521.841796875,16521.841796875,16603.31640625,16388.404296875,16602.26953125,18678255976
2022-11-26,16464.28125,16464.28125,16666.86328125,16416.228515625,16521.576171875,18000008764
2022-11-27,16444.626953125,16444.626953125,16594.40625,16437.025390625,16463.8828125,20443898509
2022-11-28,16217.322265625,16217.322265625,16482.93359375,16054.5302734375,16440.22265625,27743025156
2022-11-29,16444.982421875,16444.982421875,16522.2578125,16139.396484375,16217.6396484375,23581685468
2022-11-30,17168.56640625,17168.56640625,17190.9375,16445.4765625,16445.4765625,29523576583
2022-12-01,16967.1328125,16967.1328125,17197.498046875,16888.388671875,17168.001953125,22895392882
2022-12-02,17088.66015625,17088.66015625,17088.66015625,16877.880859375,16968.68359375,19539705127
2022-12-03,16908.236328125,16908.236328125,17116.041015625,16888.140625,17090.09765625,16217776704
2022-12-04,17130.486328125,17130.486328125,17157.767578125,16903.439453125,16908.169921875,16824520830
2022-12-05,16974.826171875,16974.826171875,17378.15234375,16922.431640625,17128.89453125,22209086834
2022-12-06,17089.50390625,17089.50390625,17091.86328125,16939.921875,16975.23828125,19889922369
2022-12-07,16848.126953125,16848.126953125,17109.376953125,16750.55859375,17089.505859375,19675404389
2022-12-08,17233.474609375,17233.474609375,17267.916015625,16788.783203125,16847.349609375,20496603770
2022-12-09,17133.15234375,17133.15234375,17280.546875,17100.8359375,17232.1484375,20328426366
2022-12-10,17128.724609375,17128.724609375,17216.826171875,17120.68359375,17134.220703125,12706781969
2022-12-11,17104.193359375,17104.193359375,17245.634765625,17091.8203125,17129.7109375,14122486832
2022-12-12,17206.4375,17206.4375,17212.564453125,16899.39453125,17102.5,19617581341
2022-12-13,17781.318359375,17781.318359375,17930.0859375,17111.763671875,17206.44140625,26634741631
2022-12-14,17815.650390625,17815.650390625,18318.53125,17739.513671875,17782.06640625,25534481470
2022-12-15,17364.865234375,17364.865234375,17846.744140625,17322.58984375,17813.64453125,20964448341
2022-12-16,16647.484375,16647.484375,17505.525390625,16584.701171875,17364.546875,24031608960
2022-12-17,16795.091796875,16795.091796875,16800.58984375,16614.029296875,16646.982421875,14463581825
2022-12-18,16757.9765625,16757.9765625,16815.38671875,16697.8203125,16795.609375,10924354698
2022-12-19,16439.6796875,16439.6796875,16807.52734375,16398.13671875,16759.041015625,17221074814
2022-12-20,16906.3046875,16906.3046875,17012.984375,16427.8671875,16441.787109375,22722096615
2022-12-21,16817.53515625,16817.53515625,16916.80078125,16755.912109375,16904.52734375,14882945045
2022-12-22,16830.341796875,16830.341796875,16866.673828125,16592.408203125,16818.380859375,16441573050
2022-12-23,16796.953125,16796.953125,16905.21875,16794.458984375,16829.64453125,15329265213
2022-12-24,16847.755859375,16847.755859375,16864.703125,16793.52734375,16796.9765625,9744636213
2022-12-25,16841.986328125,16841.986328125,16860.5546875,16755.25390625,16847.505859375,11656379938
2022-12-26,16919.8046875,16919.8046875,16920.123046875,16812.369140625,16842.25,11886957804
2022-12-27,16717.173828125,16717.173828125,16959.845703125,16642.072265625,16919.291015625,15748580239
2022-12-28,16552.572265625,16552.572265625,16768.169921875,16497.556640625,16716.400390625,17005713920
2022-12-29,16642.341796875,16642.341796875,16651.755859375,16508.68359375,16552.322265625,14472237479
2022-12-30,16602.5859375,16602.5859375,16643.427734375,16408.474609375,16641.330078125,15929162910
2022-12-31,16547.49609375,16547.49609375,16628.986328125,16517.51953125,16603.673828125,11239186456
2023-01-01,16625.080078125,16625.080078125,16630.439453125,16521.234375,16547.9140625,9244361700
2023-01-02,16688.470703125,16688.470703125,16759.34375,16572.228515625,16625.509765625,12097775227
2023-01-03,16679.857421875,16679.857421875,16760.447265625,16622.37109375,16688.84765625,13903079207
2023-01-04,16863.23828125,16863.23828125,16964.5859375,16667.763671875,16680.205078125,18421743322
2023-01-05,16836.736328125,16836.736328125,16884.021484375,16790.283203125,16863.47265625,13692758566
2023-01-06,16951.96875,16951.96875,16991.994140625,16716.421875,16836.47265625,14413662913
2023-01-07,16955.078125,16955.078125,16975.017578125,16914.19140625,16952.1171875,7714767174
2023-01-08,17091.14453125,17091.14453125,17091.14453125,16924.05078125,16954.146484375,9768827914
2023-01-09,17196.5546875,17196.5546875,17389.95703125,17093.9921875,17093.9921875,18624736866
2023-01-10,17446.29296875,17446.29296875,17484.720703125,17162.990234375,17192.94921875,15808338949
2023-01-11,17934.896484375,17934.896484375,17934.896484375,17337.994140625,17446.359375,18372283782
2023-01-12,18869.587890625,18869.587890625,19030.087890625,17995.203125,18117.59375,34971338710
2023-01-13,19909.57421875,19909.57421875,19964.322265625,18753.1640625,18868.90625,29225029694
2023-01-14,20976.298828125,20976.298828125,21075.142578125,19907.828125,19910.537109375,38967784639
2023-01-15,20880.798828125,20880.798828125,20993.748046875,20606.986328125,20977.484375,19298407543
2023-01-16,21169.6328125,21169.6328125,21360.875,20715.74609375,20882.224609375,26792494050
2023-01-17,21161.51953125,21161.51953125,21438.66015625,20978.533203125,21175.833984375,24999983362
2023-01-18,20688.78125,20688.78125,21564.501953125,20541.544921875,21161.05078125,30005625418
2023-01-19,21086.79296875,21086.79296875,21163.01171875,20685.380859375,20686.74609375,21152848261
2023-01-20,22676.552734375,22676.552734375,22692.357421875,20919.126953125,21085.373046875,28799154319
2023-01-21,22777.625,22777.625,23282.34765625,22511.833984375,22677.427734375,32442278429
2023-01-22,22720.416015625,22720.416015625,23056.73046875,22387.900390625,22777.986328125,24746386230
2023-01-23,22934.431640625,22934.431640625,23126.486328125,22654.3046875,22721.087890625,26518700512
