date,DailySentimentMean,DailySentimentMedian,PositiveRatio,NegativeRatio,NewsCount,SentimentZScore
2024-11-01,0.10115,0.10115,0.5,0.0,2,-0.16351633679051686
2024-11-02,0.0,0.0,0.0,0.0,1,-0.7731362083365754
2024-11-03,0.2553,0.2553,0.5,0.0,2,0.7655286775330119
2024-11-04,0.150225,0.10115,0.5,0.25,4,0.1322532647529613
2024-11-05,0.3035,0.39185,0.6666666666666666,0.0,6,1.0560247507759184
2024-11-06,-0.1752,0.0,0.0,0.3333333333333333,3,-1.8290472463481369
2024-11-07,0.11875000000000001,0.2064,0.75,0.25,4,-0.057443081830451284
2024-11-08,-0.009429999999999994,0.0,0.2,0.4,10,-0.8299697761930196
2024-11-09,0.0494,0.0,0.3333333333333333,0.16666666666666666,6,-0.4754078677100278
2024-11-10,0.0,0.0,0.0,0.0,3,-0.7731362083365754
2024-11-11,0.12956666666666666,0.0258,0.5,0.0,6,0.007747772780422262
2024-11-12,-0.06835454545454546,0.0,0.09090909090909091,0.18181818181818182,11,-1.1851014996819953
2024-11-13,0.2509125,0.2023,0.75,0.125,8,0.7390856999115749
2024-11-14,0.29773333333333335,0.25,0.5555555555555556,0.0,9,1.0212696880712002
2024-11-15,0.24088333333333334,0.0,0.3333333333333333,0.0,6,0.6786410207712157
2024-11-16,-0.22696666666666668,-0.4215,0.3333333333333333,0.6666666666666666,3,-2.141039225425754
2024-11-17,-0.018233333333333313,-0.2263,0.3333333333333333,0.6666666666666666,6,-0.8830264933046735
2024-11-18,-0.03755714285714286,0.0,0.2857142857142857,0.2857142857142857,7,-0.9994889577602867
2024-11-19,0.3395222222222222,0.2732,0.6666666666666666,0.1111111111111111,9,1.2731267031626183
2024-11-20,0.07440000000000001,0.0,0.42857142857142855,0.14285714285714285,7,-0.32473563055084376
2024-11-21,0.15245384615384616,0.0,0.38461538461538464,0.0,13,0.1456862742043071
2024-11-22,0.08532,0.0,0.4,0.1,10,-0.2589219973597122
2024-11-23,0.020225000000000007,0.0,0.25,0.25,4,-0.6512423684747956
2024-11-24,0.058533333333333326,0.0,0.3333333333333333,0.3333333333333333,3,-0.4203622770678726
2024-11-25,0.3716375,0.3119,0.625,0.0,8,1.4666819331532746
2024-11-26,0.08888888888888888,0.0,0.2222222222222222,0.0,9,-0.23741269843725452
2024-11-27,0.09420909090909091,0.0,0.2727272727272727,0.0,11,-0.20534842881634852
2024-11-28,0.21606153846153847,0.2023,0.5384615384615384,0.07692307692307693,13,0.5290428062256279
2024-11-29,0.20768,0.0129,0.4,0.2,10,0.47852820019219805
2024-11-30,0.0172,0.0,0.3333333333333333,0.0,3,-0.6694737091710569
2024-12-01,0.6790333333333334,0.5696,1.0,0.0,3,3.3193226492230754
2024-12-02,0.033716666666666666,0.0,0.16666666666666666,0.0,6,-0.5699295844878892
2024-12-03,0.16178333333333333,0.0,0.3333333333333333,0.0,12,0.20191406239955742
2024-12-04,0.22021428571428572,0.2023,0.7142857142857143,0.0,7,0.5540709549827513
2024-12-05,0.1188090909090909,0.0,0.45454545454545453,0.0,11,-0.057086947451711466
2024-12-06,0.05606,0.0,0.3,0.1,10,-0.4352687837308212
2024-12-07,-0.20095,-0.20095,0.0,0.5,2,-1.9842396506220967
2024-12-08,0.12726666666666667,0.0,0.3333333333333333,0.0,3,-0.006114073038222647
2024-12-09,0.2584,0.28495000000000004,0.625,0.0,8,0.7842120349407506
2024-12-10,0.0712076923076923,0.0,0.3076923076923077,0.3076923076923077,13,-0.3439753162188627
2024-12-11,0.24642999999999998,0.11315,0.5,0.1,10,0.7120701677889332
2024-12-12,-0.06364,0.0,0.0,0.2,5,-1.1566874552489943
2024-12-13,0.035525,0.0,0.125,0.125,8,-0.5590309593333749
2024-12-14,0.25265000000000004,0.25,0.75,0.0,4,0.7495574203941385
2024-12-15,0.0,0.0,0.0,0.0,1,-0.7731362083365754
2024-12-16,0.23665714285714287,0.2023,0.5714285714285714,0.0,7,0.6531702378228775
2024-12-17,0.1275,0.0,0.2857142857142857,0.0,7,-0.004707798824736916
2024-12-18,0.1039,0.0,0.36363636363636365,0.18181818181818182,11,-0.1469423907030066
2024-12-19,0.12894,0.0,0.4,0.1,10,0.003970922035632064
2024-12-20,0.16595555555555555,0.0,0.4444444444444444,0.2222222222222222,9,0.22705958464545675
2024-12-21,0.0,0.0,0.0,0.0,1,-0.7731362083365754
2024-12-22,-0.011999999999999997,-0.011999999999999997,0.5,0.5,2,-0.8454588821729838
2024-12-23,-0.016209999999999995,0.0,0.3,0.2,10,-0.8708320869105903
2024-12-24,0.15467999999999998,0.0516,0.6,0.0,5,0.15910305741472783
2024-12-25,-0.056575,0.0,0.0,0.25,4,-1.1141074810278087
2024-12-26,-0.02020000000000001,-0.11315,0.25,0.5,4,-0.894879375961196
2024-12-27,0.08218333333333334,0.0,0.3333333333333333,0.0,6,-0.27782634071528445
2024-12-28,0.17284,0.0,0.4,0.0,5,0.26855137048715916
2024-12-30,0.0589,0.0,0.18181818181818182,0.09090909090909091,11,-0.4181524175895378
2024-12-31,0.17191538461538464,0.0,0.38461538461538464,0.07692307692307693,13,0.26297881574668736
2025-01-01,0.0753888888888889,0.0258,0.4444444444444444,0.1111111111111111,9,-0.3187757065032138
2025-01-02,0.033716666666666666,0.0,0.16666666666666666,0.0,6,-0.5699295844878892
2025-01-03,0.16570000000000001,0.0,0.4444444444444444,0.1111111111111111,9,0.22551937955449633
2025-01-04,0.2263,0.2263,1.0,0.0,1,0.5907488824283583
