open,high,low,close,volume,adjusted,date,day_of_week,weekend,daily_return,log_return,SMA_5,SMA_10,SMA_20,EMA_12,RSI_14,MACD_line,MACD_signal,MACD_hist,volatility_7d,volatility_21d,volume_zscore,volume_change,day_of_week_num
98496.42969,99655.5,97222.66406,98997.66406,78473580551.0,98997.66406,2024-11-22,Friday,0,0.005004201495851568,0.004991722095187552,94945.6625,92403.324218,84597.259766,90943.73380482905,83.00759974426094,6600.134280869621,5463.841391230675,1136.2928896389458,0.018068524908802938,0.033621546198094036,0.1739629695343329,-0.25985776419712336,4
99006.74219,99014.67969,97232.89063,97777.28125,44414644677.0,97777.28125,2024-11-23,Saturday,1,-0.012327389960033353,-0.012404002504540773,96392.59062399999,93122.635937,86049.067969,91995.04879639382,78.62734547992477,6656.361737172119,5702.345460418964,954.0162767531556,0.019309731033302146,0.033972460194797834,-0.9424719190323056,-0.4340178648005629,5
97778.09375,98647.17969,95788.07813,98013.82031,51712020623.0,98013.82031,2024-11-24,Sunday,1,0.00241916176207857,0.002416240300972385,97526.596874,94198.974999,87559.183594,92921.01364464092,78.86019423807437,6643.427826102314,5890.561933555634,752.8658925466798,0.017963261394745487,0.03366614762539571,-0.7557356551602038,0.1643011218274797,6
98033.44531,98935.03125,92642.91406,93102.29688,80909462490.0,93102.29688,2024-11-25,Monday,0,-0.050110519256016506,-0.051409637214079464,97279.15781199999,94402.603906,88746.320313,92948.90337315771,63.41179329049756,6165.783401918263,5945.60622722816,220.17717469010313,0.029921958898196276,0.03620585999837367,0.1437313092744546,0.5646161475657718,0
93087.28125,94991.75,90770.8125,91985.32031,91656519855.0,91985.32031,2024-11-26,Tuesday,0,-0.011997304120645702,-0.012069852615163685,95975.276562,94545.288281,89563.632422,92800.6598249796,60.5087315924281,5632.191680498625,5882.923317882253,-250.73163738362837,0.029591830813345835,0.03666318458013176,0.44445375831219547,0.13282818887010017,1
91978.14063,97361.17969,91778.66406,95962.53125,71133452438.0,95962.53125,2024-11-27,Wednesday,0,0.04323745274350732,0.042328813332135284,95368.25,95156.95625,90566.51601549999,93287.10158267504,66.40618827842349,5467.221356303766,5799.7829255665565,-332.5615692627907,0.03315965504325486,0.0330068754039979,-0.1986063441396911,-0.22391279365033012,2
95954.94531,96650.20313,94677.35156,95652.46875,52260008261.0,95652.46875,2024-11-28,Thursday,0,-0.0032310787967048116,-0.003236310003132818,94943.2875,95667.93906199999,91521.86562499999,93651.00422380195,65.58391473759139,5250.93225493966,5690.012791441178,-439.0805365015176,0.027729618490595593,0.03312519754609474,-0.8562398330342177,-0.2653244504538862,3
95653.95313,98693.17188,95407.88281,97461.52344,54968682476.0,97461.52344,2024-11-29,Friday,0,0.018912786189849484,0.018736162932858822,94832.82812600001,96179.7125,92555.9984375,94237.23794937087,68.06828935691847,5165.947353016905,5585.199703756323,-419.25235073941803,0.028942249750628826,0.033154349688806345,-0.7581441466765672,0.05183072688148416,4
97468.8125,97499.34375,96144.21875,96449.05469,31634227866.0,96449.05469,2024-11-30,Saturday,1,-0.010388394458283878,-0.010442730464828378,95502.17968799999,96390.66875,93354.741797,94577.51744792919,65.23024462320852,4959.7258076014405,5460.104924525347,-500.3791169239066,0.02883457323098195,0.03346558624189365,-1.6151694063125486,-0.42450452801353045,5
96461.33594,97888.125,95770.1875,97279.78906,36590695296.0,97279.78906,2024-12-01,Sunday,1,0.008613193490284443,0.008576311568670714,96561.073438,96268.175,93783.657031,94993.25154209393,66.46570498364525,4807.90453734601,5329.664847089481,-521.7603097434703,0.029072312047260396,0.03239328258476829,-1.2965572458099894,0.15668052499954133,6
